Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,-174.054639,-568.896155,180,bottom
C2,4.7nF,C_0603_1608Metric,-50.825138,-544.190402,180,bottom
C3,1uF,C_0603_1608Metric,-173.459325,-577.52815,180,bottom
C4,10uF,C_0603_1608Metric,-164.232023,-626.641217,0,bottom
C5,4.7nF,C_0603_1608Metric,-157.385958,-627.831837,90,bottom
C6,0.1uF,C_0603_1608Metric,-169.887464,-584.671896,0,bottom
C7,0.1uF,C_0603_1608Metric,-163.041422,-591.071457,45,bottom
C8,4.7uF,C_0603_1608Metric,-178.81712,-592.4109,90,bottom
C9,4.7nF,C_0603_1608Metric,-41.895458,-543.892746,0,bottom
C10,0.1uF,C_0603_1608Metric,-177.328845,-592.4109,90,bottom
C11,1uF,C_0603_1608Metric,-169.887464,-601.042866,0,bottom
C12,4.7uF,C_0603_1608Metric,-169.887464,-583.183626,0,bottom
C13,10uF,C_0603_1608Metric,-169.887464,-599.554596,0,bottom
D1,1N4148W,D_SOD-123,-193.104634,-554.013276,90,bottom
D2,1N4148W,D_SOD-123,-174.05465,-554.013276,90,bottom
D3,1N4148W,D_SOD-123,-155.004666,-554.013276,90,bottom
D4,1N4148W,D_SOD-123,-135.954682,-554.013276,90,bottom
D5,1N4148W,D_SOD-123,-116.904698,-554.013276,90,bottom
D6,1N4148W,D_SOD-123,-97.854714,-554.013276,90,bottom
D7,1N4148W,D_SOD-123,-78.80473,-554.013276,90,bottom
D8,1N4148W,D_SOD-123,-59.754746,-554.013276,90,bottom
D9,1N4148W,D_SOD-123,-40.704762,-554.013276,90,bottom
D10,1N4148W,D_SOD-123,-21.654778,-554.013276,90,bottom
D11,1N4148W,D_SOD-123,-2.604794,-554.013276,90,bottom
D12,1N4148W,D_SOD-123,16.44519,-554.013276,90,bottom
D13,1N4148W,D_SOD-123,35.495174,-554.013276,90,bottom
D14,1N4148W,D_SOD-123,54.545158,-554.013276,90,bottom
D15,1N4148W,D_SOD-123,73.74397,-554.013276,90,bottom
D16,1N4148W,D_SOD-123,92.645126,-554.013276,90,bottom
D17,1N4148W,D_SOD-123,-188.342138,-573.06326,90,bottom
D18,1N4148W,D_SOD-123,-164.529658,-573.06326,90,bottom
D19,1N4148W,D_SOD-123,-145.479674,-573.06326,90,bottom
D20,1N4148W,D_SOD-123,-126.42969,-573.06326,90,bottom
D21,1N4148W,D_SOD-123,-107.379706,-573.06326,90,bottom
D22,1N4148W,D_SOD-123,-88.329722,-573.06326,90,bottom
D23,1N4148W,D_SOD-123,-69.279738,-573.06326,90,bottom
D24,1N4148W,D_SOD-123,-50.229754,-573.06326,90,bottom
D25,1N4148W,D_SOD-123,-31.17977,-573.06326,90,bottom
D26,1N4148W,D_SOD-123,-12.129786,-573.06326,90,bottom
D27,1N4148W,D_SOD-123,6.920198,-573.06326,90,bottom
